VerbName,VerbAliasPrefix,VerbRegex,VerbType,VerbGroup,VerbDescription,IsActive
Suspend,ss,'Suspend%',,Lifecycle,Pauses an activity,1
Switch,sw,'Switch%',,Common,Specifies an action that alternates between two resources,1
Sync,sy,'Sync%',,Data,Assures that two or more resources are in the same state,1
Test,t,'Test%',DTL,Diagnostic,Verifies the operation or consistency of a resource,1
Toggle,,'Toggle%',,,,1
Trace,tr,'Trace%',,Diagnostic,Tracks the activities of a resource,1
Unbind,,'Unbind%',,,,1
Unblock,ul,'Unblock%',,Security,Removes restrictions to a resource,1
Undo,un,'Undo%',TCL,Common,Sets a resource to its previous state,1
Uninstall,us,'Uninstall%',,Lifecycle,Removes a resource from an indicated location,1
Unlock,uk,'Unlock%',,Common,Releases a resource that was locked,1
Unprotect,up,'Unprotect%',,Security,Removes safeguards from a resource that were added to prevent it from attack or loss,1
Unpublish,ub,'Unpublish%',,Data,Makes a resource unavailable to others,1
Unregister,ur,'Unregister%',,Lifecycle,Removes the entry for a resource from a repository,1
Update,ud,'Update%',DML,Data,Brings a resource up-to-date to maintain its state,1
Use,u,'Use%',,Other,Uses or includes a resource to do something,1
Verify,,'Verify%',,,,1
Wait,w,'Wait%',,Lifecycle,Pauses an operation until a specified event occurs,1
Watch,wc,'Watch%',,Common,Continually inspects or monitors a resource for changes,1
